Event	ID (ID of the sampling site)	Sample ID	Longitude (WGS84)	Latitude (WGS84)	Elevation [m a.s.l.] (Of the surface of the samplin...)	Land use (Land-use type of the sampling...)	Year sampl (The year in which the soil sa...)	Depth soil [m] (The depth at which the soil s...)	Clay [%] (Clay (< 0.02 mm) content in s...)	Silt [%] (Silt (0.02 -0.5 mm) content i...)	Sand [%] (Sand (> 0.5 mm) content in so...)	Method (Method for measuring soil par...)	Soil texture quality (Quality level of soil particl...)	Soil texture class (Based on USDA (broad categori...)	Soil texture class (Based on USDA (subclasses (cl...)	DBD [g/cm**3] (Bulk density of soil, Oven dr...)	Method (Method for measuring soil bul...)	Ks [cm/min] (Soil saturated water conducti...)	Method (Method for measuring soil sat...)	Method (Method for measuring soil wat...)	vol SWC [m**3/m**3] ([meaured_θs] Measured saturat...)	fit SWC sat [m**3/m**3] ([fit_θs] Fitted saturated soi...)	fit SWC res [m**3/m**3] ([fit_θr] Fitted residual soil...)	fit α [m**-1] ([fit_α] Fitted shape paramete...)	fit n ([fit_n] Fitted shape paramete...)	fit m ([fit_m] Fitted shape paramete...)	fit Field capa [m**3/m**3] ([fit_FC] Field capacity, Calc...)	fit PWP [m**3/m**3] ([fit_PWP] Permanent wilting p...)	R**2 ([fit_r²] Coefficient of deter...)	SWC e [%] ([θs_RE] Absolute relative err...)	Quantile range ([θs_RE _range] Quantile range...)
Yellow_River_Basin_1	1	1_0	101.70166700	37.40333300	2960	Grassland	2018	0.05	15.140	64.220	20.650	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.311836653	Oven-drying method	0.089808913	Constant head method	Centrifuge method	0.508272762	0.505695887	0.073163126	2.471037121	1.348044282	0.258184606	0.277143322	0.127980062	0.999999396	0.506986680	Min-Q1
Yellow_River_Basin_1	1	1_1	101.70166700	37.40333300	2960	Grassland	2018	0.20	14.670	75.820	9.510	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.397168814	Oven-drying method	0.026834977	Constant head method	Centrifuge method	0.503855021	0.489961267	0.089171379	1.144155681	1.543044795	0.351930674	0.274091524	0.113425427	0.999998970	2.757490394	Q1-Q3
Yellow_River_Basin_1	1	1_2	101.70166700	37.40333300	2960	Grassland	2018	0.40	12.760	78.060	9.190	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.355781553	Oven-drying method	0.032931665	Constant head method	Centrifuge method	0.515945681	0.502491410	0.092099826	1.181049378	1.535503834	0.348747963	0.280508306	0.117486213	0.999998705	2.607691386	Q1-Q3
Yellow_River_Basin_1	1	1_3	101.70166700	37.40333300	2960	Grassland	2018	0.60	12.560	79.440	8.010	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.330670182	Oven-drying method	0.034039548	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_4	101.70166700	37.40333300	2960	Grassland	2018	0.80	12.630	76.130	11.240	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.365547087	Oven-drying method	0.076396141	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_5	101.70166700	37.40333300	2960	Grassland	2018	1.00	17.050	77.840	5.110	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.328345055	Oven-drying method	0.153334914	Constant head method	Centrifuge method	0.520363422	0.510292248	0.092572301	1.228992757	1.430645217	0.301014683	0.310973856	0.136372238	0.999998996	1.935411621	Q1-Q3
Yellow_River_Basin_1	1	1_6	101.70166700	37.40333300	2960	Grassland	2018	1.20	14.480	76.930	8.590	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.272076981	Oven-drying method	0.063258516	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_7	101.70166700	37.40333300	2960	Grassland	2018	1.40	12.280	77.700	10.020	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.314161780	Oven-drying method	0.042806609	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_8	101.70166700	37.40333300	2960	Grassland	2018	1.60	8.910	71.440	19.660	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.411817114	Oven-drying method	0.010022465	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_9	101.70166700	37.40333300	2960	Grassland	2018	1.80	18.010	77.030	4.950	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.298583429	Oven-drying method	0.056485444	Constant head method	Centrifuge method											
